run_id,run_label,factor,place,signal_q,window_minutes,d_shift,cs_dmax_um,kernel_form,d1_um,d2_um,eta,eta_ci_low,eta_ci_high,beta_max,beta_max_ci_low,beta_max_ci_high,cs0,cs0_ci_low,cs0_ci_high,hill_n,hill_n_ci_low,hill_n_ci_high,crps,crps_low,crps_high,r2,crps_ratio,crps_ratio_low,crps_ratio_high,crpss,crpss_low,crpss_high
5,Growth interval shift -1 bin,growth_interval,CM,0.6,60,-1,32.0,mm,0.25,0.35,0.00039557983834634353,0.00029200935953100575,0.0012053153293721049,1.9565558552974596,1.4937644360567963,4.102351437752918,16.751849211269832,9.391234932510313,50.63115741979814,1.0,1.0,1.0,1.2129160489399915,0.6554387835668729,2.0361610903043386,-0.505345547014263,1.0,1.0,1.0,0.0,0.0,0.0
5,Growth interval shift -1 bin,growth_interval,JH,0.6,60,-1,32.0,mm,0.25,0.35,0.0006717900623665745,9.746081157316574e-06,0.008504500432891566,2.760685820686858,2.368044699054439,3.54292457866444,29.17664110539388,19.92854039439975,43.07905641966148,1.0,1.0,1.0,1.3033735204761647,0.4369368481545634,2.68998212653597,-7.217336600667636,1.0,1.0,1.0,0.0,0.0,0.0
6,Growth interval shift +1 bin,growth_interval,CM,0.6,60,1,32.0,mm,0.28,0.45,0.003190804182238836,0.0018638210185337413,0.010218507100218231,1.9565558552974596,1.5463425081546822,3.7155099554406563,16.751849211269832,10.142378958142626,47.97213321671787,1.0,1.0,1.0,1.2129160489399915,0.6554387835668729,2.0361610903043386,-0.505345547014263,1.0,1.0,1.0,0.0,0.0,0.0
6,Growth interval shift +1 bin,growth_interval,JH,0.6,60,1,32.0,mm,0.28,0.45,0.0030335522907841243,7.371856152782579e-05,0.01699566511539559,2.760685820686858,2.4128451341436077,3.3932908078797417,29.17664110539388,21.821029849460125,40.153690467691796,1.0,1.0,1.0,1.3033735204761647,0.4369368481545634,2.68998212653597,-7.217336600667636,1.0,1.0,1.0,0.0,0.0,0.0
7,CS Dmax -1 bin,cs_definition,CM,0.6,60,0,30.0,mm,0.25,0.4,0.0014614967429631154,0.0008995263442279352,0.0038223749039164867,1.9565448335959086,1.5346488852447981,4.329418173483404,16.751423986187213,10.686607241385575,58.16321489625186,1.0,1.0,1.0,1.2128966118838127,0.6554359204792986,2.036115193400051,-0.5052878513382226,0.9999887720157862,0.9999784547124063,0.999995694260255,1.1227984213713071e-05,4.305739744925319e-06,2.1545287593693893e-05
7,CS Dmax -1 bin,cs_definition,JH,0.6,60,0,30.0,mm,0.25,0.4,0.0017459460374227704,5.449795660247409e-05,0.020536349222808153,2.7606517417743524,2.38423635802783,3.503559870046726,29.17554219492492,19.912618818944452,45.7430181240778,1.0,1.0,1.0,1.3033339299240938,0.4369467453527358,2.6898534000018226,-7.2172752401266775,1.0000008063472365,0.9999575833619517,1.0000295388870057,-8.063472365001564e-07,-2.9538887005742254e-05,4.241663804830375e-05
8,CS Dmax +1 bin,cs_definition,CM,0.6,60,0,32.0,mm,0.25,0.4,0.0014614967429631154,0.0009347629265357186,0.0041689994694485,1.9565558552974596,1.5255464988906395,4.254352132166925,16.751849211269832,9.753643296349146,56.2593942415516,1.0,1.0,1.0,1.2129160489399915,0.6554387835668729,2.0361610903043386,-0.505345547014263,1.0,1.0,1.0,0.0,0.0,0.0
8,CS Dmax +1 bin,cs_definition,JH,0.6,60,0,32.0,mm,0.25,0.4,0.0017460139179642014,4.644212116585545e-05,0.020336305413987194,2.760685820686858,2.3816577558004046,3.5963982907518184,29.17664110539388,20.96293007415212,45.37073462720047,1.0,1.0,1.0,1.3033735204761647,0.4369368481545634,2.68998212653597,-7.217336600667636,1.0,1.0,1.0,0.0,0.0,0.0
9,Kernel MM,kernel_form,CM,0.6,60,0,32.0,mm,0.25,0.4,0.0014614967429631154,0.0007708874867383357,0.004034492529911469,1.9565558552974596,1.4874135105617756,5.349402496798752,16.751849211269832,8.811625554821525,78.20459326560646,1.0,1.0,1.0,1.2129160489399915,0.6554387835668729,2.0361610903043386,-0.505345547014263,1.0,1.0,1.0,0.0,0.0,0.0
9,Kernel MM,kernel_form,JH,0.6,60,0,32.0,mm,0.25,0.4,0.0017460139179642014,4.6706858982288554e-05,0.020434739019501352,2.760685820686858,2.372779319707111,3.6423323134367713,29.17664110539388,20.216934998998255,46.851972575961305,1.0,1.0,1.0,1.3033735204761647,0.4369368481545634,2.68998212653597,-7.217336600667636,1.0,1.0,1.0,0.0,0.0,0.0
10,Kernel Hill,kernel_form,CM,0.6,60,0,32.0,hill,0.25,0.4,0.0014614967429631154,0.000892956287467906,0.0036281523433436104,1.4672496814065392,1.2061369540196645,1.8813616839248533,11.34054709174344,9.889620691898577,14.468652185594628,2.481900117272893,1.93115481078085,3.280438070409015,0.9344784990553143,0.5688492440995576,1.5055017442439327,0.07805194333996131,0.7965652202924076,0.7412283344016034,0.8709533316605482,0.20343477970759236,0.12904666833945178,0.25877166559839665
10,Kernel Hill,kernel_form,JH,0.6,60,0,32.0,hill,0.25,0.4,0.0017460139179642014,5.136994209753166e-05,0.020239520694579332,1.9531317719523023,1.7168553446253902,2.2080614406320467,14.820419823924931,11.74620117606245,18.060367494242023,1.6687872408398572,1.4564566243027341,2.0094176295313884,0.5503656608601275,0.2052320763032524,0.9912435771015464,0.030491401122461143,0.5096797385601557,0.3675890796995527,0.7073953943348396,0.49032026143984425,0.29260460566516044,0.6324109203004473
