Chemical,Cluster,Place,Average Concentration,CRPS,R2 Total,R2 WLS,R2 Mean,Concentration Std Dev,R2 Std Dev,Percentage (%),Q0,Pvalue Q0,a,Pvalue a,v0,Pvalue v0,k,Pvalue k,sigma0,Pvalue sigma0
"1,3-Butadiene",2.0,JH,0.7835520846134518,0.1417156569820029,0.1234759029428347,0.4836395902491831,0.4599338847338166,0.1958444883655976,0.01724404156889103,3.501079037159875,54.81119717849902,0.0004554033978090288,0.1230936764626631,0.0005323076017957895,-3.653712330471842,0.0005269734166668538,0.003774629325642879,0.006249287800133896,-0.07221364214370321,1.053959142183203e-10
,,CM,0.9107477301684171,0.164876629794927,0.08448320068566617,0.3580194037430408,0.3940468387795721,0.2031048307741669,0.6632210159338126,2.354619023758435,22.63117082668535,0.02202633633135886,0.04474693894942317,0.02053289126267543,-1.398580035857657,0.02364733518677142,0.003529771400213891,6.795615181687253e-10,-0.04728110188922743,0.006318517568016269
Pentene,9.0,JH,0.6600316414104556,0.1975936472481282,0.08663250794955313,0.4546941074140769,0.4542988347785446,0.2448226688060792,0.0005810498679245102,2.94916316219663,67.30305795788534,0.00043724112743182,0.152685232677962,0.0004551847695852818,-4.519668992931451,0.0004675130542937111,0.003674341200943786,0.7095271125286899,-0.100408690656631,0.2587983523713593
,,CM,1.333260136700705,0.2284748420511374,0.04088484866536168,0.3638405969403244,0.4087430368810558,0.2387500071093636,0.09765803845018883,3.446969536683581,16.50993052075822,0.1311973395901886,0.03317441399589453,0.1210097202221319,-1.007722247959175,0.1409708930460416,0.007529338518388357,1.227840051853946e-11,-0.1221055352415942,0.006579422445441185
"1,3-Dichloropropene",30.0,JH,0.7826082749780747,0.1780701968784608,0.1024338377121866,0.4616738779551992,0.4352016552657165,0.2436292647313619,0.03533337230573697,3.496861892959284,58.00602921949976,0.001911551241454479,0.12728936227459,0.002595772930734208,-3.824153287113983,0.002353579460568911,0.004882712146092475,0.0001282103700348536,-0.09646464523080653,0.0
,,CM,1.741398793246459,0.2150263667717352,0.1400846266366343,0.6091515139618671,0.6091014376578535,0.2812327446945682,0.0008696708588123991,4.502158600790422,-10.23271380083153,0.3209966833210003,-0.02878360048652666,0.1580147744213907,0.8366910686202091,0.1990105453316704,0.002823113460582133,0.7839561419482277,-0.09955385060378023,0.4019440734387048
n-Octane,31.0,JH,2.455811988582726,0.8061952570520425,0.06210418752066815,0.4144421891150986,0.3833264110678529,0.9544540819220045,0.282112547909689,10.97309552392361,232.1101445009899,0.002307569110765018,0.5296077434200467,0.002275609628749731,-15.62619567379866,0.002388606116548342,0.02722892080400899,5.330846875040152e-12,-0.3733912388390799,0.00916368020893743
,,CM,5.268589352515223,0.9290108214059494,0.00475960850623236,0.1092541330188869,0.1092950770856495,0.5243261536269618,-0.001512363266295891,13.62124802167712,3.269496347279859,0.9092270733068946,-0.008276676691333746,0.8825245330648119,0.1950441736287719,0.9135687398456038,0.0147383413440465,0.8925790764496224,-0.4785538400503566,0.6822543194407342
n-Tridecane,47.0,JH,1.441402557610714,0.08630891933763234,0.03310544336650401,0.2767490009706721,0.2677258539898936,0.07626101713087097,0.05269358483990494,6.440496270326511,1.639020874662938,0.7813536738742783,-0.001018335498074288,0.9395998799367637,0.008458318920530028,0.9830815385355209,0.002709422470238207,1.453862345845991e-06,-0.04950491527680201,4.642952688982405e-12
,,CM,1.636240335893055,0.124777458215116,0.08732160363070596,0.3357566211693631,0.3318054804960797,0.1742064571469494,0.0259375134308919,4.230285176359676,9.511461612815225,0.256460046763852,0.01294130630700228,0.425494191352028,-0.4547661650084727,0.3835154307213771,0.002674269987196876,0.0003296553508815858,-0.05968399326866044,1.332267629550188e-15
